message,department,category
i have an issue with refund requests,Payments & Billing,Refund Requests
i have an issue with app update issues thanks,Technical Support,App Update Issues
i am facing advance booking support thanks,Ride Booking,Advance Booking Support
please assist with customer support response time,Feedback & Complaints,Customer Support Response Time
please assist with discount not applied thanks,Promotions & Discounts,Discount Not Applied
please assist with cashback issues thanks,Promotions & Discounts,Cashback Issues
hello i am facing pickup drop problems thanks,Service & Operations,Pickup & Drop Problems
having trouble with refund requests thanks,Payments & Billing,Refund Requests
i am facing service feedback,Feedback & Complaints,Service Feedback
having trouble with complaint registration,Feedback & Complaints,Complaint Registration
hey i am facing schedule changes thanks,Ride Booking,Schedule Changes
please assist with ride cancellation,Ride Booking,Ride Cancellation
please assist with vehicle availability please help,Vehicle & Driver Support,Vehicle Availability
please assist with subscription renewal,Payments & Billing,Subscription Renewal
hello i am facing cashback issues thanks,Promotions & Discounts,Cashback Issues
having trouble with cashback issues please help,Promotions & Discounts,Cashback Issues
please assist with customer support response time,Feedback & Complaints,Customer Support Response Time
having trouble with app update issues thanks,Technical Support,App Update Issues
having trouble with customer support response time please help,Feedback & Complaints,Customer Support Response Time
i have an issue with login problems,Account Management,Login Problems
i am facing route issues,Service & Operations,Route Issues
i have an issue with invoice issues,Payments & Billing,Invoice Issues
i have an issue with app update issues,Technical Support,App Update Issues
having trouble with safety concerns,Feedback & Complaints,Safety Concerns
hi i am facing invoice issues please help,Payments & Billing,Invoice Issues
please assist with subscription management thanks,Account Management,Subscription Management
i have an issue with ride cancellation urgent,Ride Booking,Ride Cancellation
please assist with service feedback urgent,Feedback & Complaints,Service Feedback
i have an issue with pickup drop problems please help,Service & Operations,Pickup & Drop Problems
having trouble with payment failures please help,Payments & Billing,Payment Failures
i have an issue with account deactivation please help,Account Management,Account Deactivation
hi i am facing gpstracking issues,Technical Support,GPS/Tracking Issues
having trouble with app update issues please help,Technical Support,App Update Issues
i have an issue with route issues urgent,Service & Operations,Route Issues
hello i am facing promo code not working thanks,Promotions & Discounts,Promo Code Not Working
having trouble with discount not applied please help,Promotions & Discounts,Discount Not Applied
please assist with gpstracking issues urgent,Technical Support,GPS/Tracking Issues
having trouble with promo code not working,Promotions & Discounts,Promo Code Not Working
hey i am facing service feedback please help,Feedback & Complaints,Service Feedback
i have an issue with invoice issues,Payments & Billing,Invoice Issues
having trouble with ride cancellation thanks,Ride Booking,Ride Cancellation
please assist with account deactivation,Account Management,Account Deactivation
please assist with route issues thanks,Service & Operations,Route Issues
hello i am facing promo code not working please help,Promotions & Discounts,Promo Code Not Working
please assist with subscription management please help,Account Management,Subscription Management
having trouble with notification problems please help,Technical Support,Notification Problems
i have an issue with service delays,Service & Operations,Service Delays
hey i am facing vehicle condition urgent,Vehicle & Driver Support,Vehicle Condition
please assist with account deactivation please help,Account Management,Account Deactivation
i am facing invoice issues,Payments & Billing,Invoice Issues
i have an issue with charging issues,Vehicle & Driver Support,Charging Issues
please assist with vehicle availability urgent,Vehicle & Driver Support,Vehicle Availability
hey i am facing safety concerns urgent,Feedback & Complaints,Safety Concerns
hi i am facing schedule changes please help,Ride Booking,Schedule Changes
i have an issue with account creation issues urgent,Account Management,Account Creation Issues
i have an issue with safety concerns urgent,Feedback & Complaints,Safety Concerns
please assist with service availability urgent,Service & Operations,Service Availability
please assist with account creation issues thanks,Account Management,Account Creation Issues
please assist with loyalty points please help,Promotions & Discounts,Loyalty Points
having trouble with cashback issues,Promotions & Discounts,Cashback Issues
please assist with driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
having trouble with account creation issues,Account Management,Account Creation Issues
i am facing vehicle condition urgent,Vehicle & Driver Support,Vehicle Condition
please assist with account creation issues please help,Account Management,Account Creation Issues
hi i am facing app update issues urgent,Technical Support,App Update Issues
hello i am facing pickup drop problems urgent,Service & Operations,Pickup & Drop Problems
having trouble with login problems please help,Account Management,Login Problems
please assist with app update issues thanks,Technical Support,App Update Issues
hi i am facing invoice issues please help,Payments & Billing,Invoice Issues
i have an issue with refund requests urgent,Payments & Billing,Refund Requests
please assist with vehicle availability thanks,Vehicle & Driver Support,Vehicle Availability
hello i am facing booking failures please help,Ride Booking,Booking Failures
hi i am facing payment failures please help,Payments & Billing,Payment Failures
having trouble with promo code not working please help,Promotions & Discounts,Promo Code Not Working
hello i am facing service delays thanks,Service & Operations,Service Delays
hi i am facing service feedback please help,Feedback & Complaints,Service Feedback
hey i am facing advance booking support,Ride Booking,Advance Booking Support
i have an issue with discount not applied please help,Promotions & Discounts,Discount Not Applied
i have an issue with loyalty points,Promotions & Discounts,Loyalty Points
hi i am facing complaint registration please help,Feedback & Complaints,Complaint Registration
having trouble with schedule changes please help,Ride Booking,Schedule Changes
please assist with charging issues urgent,Vehicle & Driver Support,Charging Issues
please assist with notification problems,Technical Support,Notification Problems
please assist with charging issues thanks,Vehicle & Driver Support,Charging Issues
i have an issue with booking failures,Ride Booking,Booking Failures
i have an issue with promo code not working thanks,Promotions & Discounts,Promo Code Not Working
having trouble with loyalty points urgent,Promotions & Discounts,Loyalty Points
hello i am facing ride cancellation,Ride Booking,Ride Cancellation
hello i am facing complaint registration please help,Feedback & Complaints,Complaint Registration
hey i am facing app update issues,Technical Support,App Update Issues
having trouble with vehicle availability,Vehicle & Driver Support,Vehicle Availability
i have an issue with app crashes urgent,Technical Support,App Crashes
hi i am facing app crashes urgent,Technical Support,App Crashes
please assist with subscription renewal,Payments & Billing,Subscription Renewal
having trouble with notification problems thanks,Technical Support,Notification Problems
i have an issue with loyalty points,Promotions & Discounts,Loyalty Points
hey i am facing booking failures urgent,Ride Booking,Booking Failures
i have an issue with account deactivation thanks,Account Management,Account Deactivation
having trouble with service feedback,Feedback & Complaints,Service Feedback
having trouble with account creation issues,Account Management,Account Creation Issues
hey i am facing login problems urgent,Account Management,Login Problems
having trouble with app crashes please help,Technical Support,App Crashes
please assist with refund requests thanks,Payments & Billing,Refund Requests
hey i am facing promo code not working,Promotions & Discounts,Promo Code Not Working
having trouble with safety concerns,Feedback & Complaints,Safety Concerns
hi i am facing service feedback urgent,Feedback & Complaints,Service Feedback
please assist with service availability please help,Service & Operations,Service Availability
having trouble with route issues thanks,Service & Operations,Route Issues
i have an issue with service delays please help,Service & Operations,Service Delays
please assist with subscription management please help,Account Management,Subscription Management
having trouble with login problems please help,Account Management,Login Problems
i am facing safety concerns thanks,Feedback & Complaints,Safety Concerns
hey i am facing subscription management urgent,Account Management,Subscription Management
having trouble with safety concerns,Feedback & Complaints,Safety Concerns
having trouble with login problems thanks,Account Management,Login Problems
hi i am facing booking failures please help,Ride Booking,Booking Failures
please assist with ride cancellation urgent,Ride Booking,Ride Cancellation
i have an issue with cashback issues,Promotions & Discounts,Cashback Issues
having trouble with app update issues please help,Technical Support,App Update Issues
i have an issue with complaint registration please help,Feedback & Complaints,Complaint Registration
hey i am facing account creation issues thanks,Account Management,Account Creation Issues
hello i am facing driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
having trouble with vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
hi i am facing vehicle condition,Vehicle & Driver Support,Vehicle Condition
please assist with promo code not working please help,Promotions & Discounts,Promo Code Not Working
having trouble with charging issues please help,Vehicle & Driver Support,Charging Issues
i have an issue with driver behaviour,Vehicle & Driver Support,Driver Behaviour
please assist with customer support response time thanks,Feedback & Complaints,Customer Support Response Time
i have an issue with account creation issues please help,Account Management,Account Creation Issues
i have an issue with refund requests urgent,Payments & Billing,Refund Requests
having trouble with account creation issues thanks,Account Management,Account Creation Issues
having trouble with service availability urgent,Service & Operations,Service Availability
please assist with app crashes please help,Technical Support,App Crashes
please assist with advance booking support thanks,Ride Booking,Advance Booking Support
i am facing refund requests please help,Payments & Billing,Refund Requests
hi i am facing invoice issues please help,Payments & Billing,Invoice Issues
having trouble with invoice issues thanks,Payments & Billing,Invoice Issues
hello i am facing promo code not working urgent,Promotions & Discounts,Promo Code Not Working
hey i am facing account creation issues urgent,Account Management,Account Creation Issues
having trouble with route issues thanks,Service & Operations,Route Issues
i have an issue with service availability urgent,Service & Operations,Service Availability
i have an issue with discount not applied thanks,Promotions & Discounts,Discount Not Applied
hi i am facing advance booking support please help,Ride Booking,Advance Booking Support
having trouble with notification problems please help,Technical Support,Notification Problems
hello i am facing pickup drop problems,Service & Operations,Pickup & Drop Problems
i have an issue with charging issues please help,Vehicle & Driver Support,Charging Issues
please assist with ride cancellation please help,Ride Booking,Ride Cancellation
having trouble with account deactivation please help,Account Management,Account Deactivation
hi i am facing loyalty points thanks,Promotions & Discounts,Loyalty Points
please assist with app crashes,Technical Support,App Crashes
having trouble with gpstracking issues thanks,Technical Support,GPS/Tracking Issues
i have an issue with payment failures thanks,Payments & Billing,Payment Failures
please assist with booking failures thanks,Ride Booking,Booking Failures
i have an issue with subscription renewal thanks,Payments & Billing,Subscription Renewal
hello i am facing subscription renewal please help,Payments & Billing,Subscription Renewal
having trouble with advance booking support urgent,Ride Booking,Advance Booking Support
i am facing driver behaviour,Vehicle & Driver Support,Driver Behaviour
please assist with schedule changes urgent,Ride Booking,Schedule Changes
please assist with gpstracking issues please help,Technical Support,GPS/Tracking Issues
please assist with schedule changes thanks,Ride Booking,Schedule Changes
i have an issue with promo code not working,Promotions & Discounts,Promo Code Not Working
please assist with cashback issues thanks,Promotions & Discounts,Cashback Issues
please assist with subscription renewal thanks,Payments & Billing,Subscription Renewal
i have an issue with notification problems please help,Technical Support,Notification Problems
hey i am facing vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
hi i am facing ride cancellation,Ride Booking,Ride Cancellation
please assist with service availability,Service & Operations,Service Availability
i have an issue with safety concerns thanks,Feedback & Complaints,Safety Concerns
i have an issue with service availability please help,Service & Operations,Service Availability
i am facing pickup drop problems thanks,Service & Operations,Pickup & Drop Problems
i have an issue with app crashes urgent,Technical Support,App Crashes
i have an issue with driver behaviour,Vehicle & Driver Support,Driver Behaviour
having trouble with subscription renewal urgent,Payments & Billing,Subscription Renewal
please assist with notification problems thanks,Technical Support,Notification Problems
hello i am facing schedule changes,Ride Booking,Schedule Changes
having trouble with driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
i am facing cashback issues,Promotions & Discounts,Cashback Issues
please assist with account deactivation thanks,Account Management,Account Deactivation
having trouble with app crashes,Technical Support,App Crashes
i have an issue with schedule changes thanks,Ride Booking,Schedule Changes
please assist with invoice issues,Payments & Billing,Invoice Issues
having trouble with driver behaviour,Vehicle & Driver Support,Driver Behaviour
please assist with refund requests thanks,Payments & Billing,Refund Requests
having trouble with vehicle availability urgent,Vehicle & Driver Support,Vehicle Availability
i have an issue with app crashes thanks,Technical Support,App Crashes
please assist with refund requests thanks,Payments & Billing,Refund Requests
i have an issue with vehicle condition,Vehicle & Driver Support,Vehicle Condition
i have an issue with account creation issues thanks,Account Management,Account Creation Issues
please assist with notification problems please help,Technical Support,Notification Problems
having trouble with subscription management urgent,Account Management,Subscription Management
please assist with vehicle availability urgent,Vehicle & Driver Support,Vehicle Availability
i have an issue with complaint registration urgent,Feedback & Complaints,Complaint Registration
please assist with charging issues please help,Vehicle & Driver Support,Charging Issues
having trouble with payment failures,Payments & Billing,Payment Failures
i have an issue with service delays please help,Service & Operations,Service Delays
hi i am facing subscription management urgent,Account Management,Subscription Management
having trouble with service availability thanks,Service & Operations,Service Availability
having trouble with discount not applied urgent,Promotions & Discounts,Discount Not Applied
having trouble with charging issues urgent,Vehicle & Driver Support,Charging Issues
having trouble with driver behaviour please help,Vehicle & Driver Support,Driver Behaviour
i have an issue with subscription management please help,Account Management,Subscription Management
hello i am facing service availability thanks,Service & Operations,Service Availability
i have an issue with refund requests please help,Payments & Billing,Refund Requests
please assist with subscription renewal,Payments & Billing,Subscription Renewal
having trouble with login problems please help,Account Management,Login Problems
having trouble with invoice issues thanks,Payments & Billing,Invoice Issues
please assist with advance booking support urgent,Ride Booking,Advance Booking Support
please assist with notification problems urgent,Technical Support,Notification Problems
hey i am facing loyalty points,Promotions & Discounts,Loyalty Points
hi i am facing login problems,Account Management,Login Problems
please assist with schedule changes,Ride Booking,Schedule Changes
having trouble with account deactivation please help,Account Management,Account Deactivation
hi i am facing service availability urgent,Service & Operations,Service Availability
please assist with subscription management urgent,Account Management,Subscription Management
hello i am facing vehicle availability,Vehicle & Driver Support,Vehicle Availability
i am facing vehicle availability thanks,Vehicle & Driver Support,Vehicle Availability
i am facing cashback issues thanks,Promotions & Discounts,Cashback Issues
i have an issue with customer support response time please help,Feedback & Complaints,Customer Support Response Time
hello i am facing app crashes please help,Technical Support,App Crashes
please assist with vehicle availability,Vehicle & Driver Support,Vehicle Availability
hey i am facing loyalty points,Promotions & Discounts,Loyalty Points
please assist with customer support response time please help,Feedback & Complaints,Customer Support Response Time
having trouble with booking failures urgent,Ride Booking,Booking Failures
i have an issue with service feedback please help,Feedback & Complaints,Service Feedback
i have an issue with promo code not working please help,Promotions & Discounts,Promo Code Not Working
please assist with service delays,Service & Operations,Service Delays
i have an issue with charging issues,Vehicle & Driver Support,Charging Issues
please assist with cashback issues urgent,Promotions & Discounts,Cashback Issues
having trouble with login problems urgent,Account Management,Login Problems
hello i am facing login problems,Account Management,Login Problems
i have an issue with complaint registration,Feedback & Complaints,Complaint Registration
having trouble with payment failures please help,Payments & Billing,Payment Failures
please assist with cashback issues please help,Promotions & Discounts,Cashback Issues
having trouble with advance booking support please help,Ride Booking,Advance Booking Support
please assist with payment failures thanks,Payments & Billing,Payment Failures
i have an issue with service availability,Service & Operations,Service Availability
having trouble with cashback issues thanks,Promotions & Discounts,Cashback Issues
i am facing vehicle condition urgent,Vehicle & Driver Support,Vehicle Condition
i have an issue with charging issues thanks,Vehicle & Driver Support,Charging Issues
having trouble with invoice issues,Payments & Billing,Invoice Issues
i have an issue with discount not applied urgent,Promotions & Discounts,Discount Not Applied
please assist with app update issues please help,Technical Support,App Update Issues
please assist with vehicle availability please help,Vehicle & Driver Support,Vehicle Availability
i have an issue with schedule changes thanks,Ride Booking,Schedule Changes
hey i am facing driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
having trouble with invoice issues,Payments & Billing,Invoice Issues
having trouble with service feedback urgent,Feedback & Complaints,Service Feedback
please assist with invoice issues please help,Payments & Billing,Invoice Issues
please assist with complaint registration urgent,Feedback & Complaints,Complaint Registration
hi i am facing subscription renewal please help,Payments & Billing,Subscription Renewal
i have an issue with app crashes thanks,Technical Support,App Crashes
having trouble with gpstracking issues urgent,Technical Support,GPS/Tracking Issues
i have an issue with pickup drop problems thanks,Service & Operations,Pickup & Drop Problems
please assist with cashback issues urgent,Promotions & Discounts,Cashback Issues
hello i am facing schedule changes urgent,Ride Booking,Schedule Changes
i have an issue with driver behaviour thanks,Vehicle & Driver Support,Driver Behaviour
