message,department,category
having trouble with service delays please help,Service & Operations,Service Delays
i have an issue with complaint registration please help,Feedback & Complaints,Complaint Registration
please assist with complaint registration urgent,Feedback & Complaints,Complaint Registration
please assist with booking failures thanks,Ride Booking,Booking Failures
having trouble with invoice issues,Payments & Billing,Invoice Issues
having trouble with advance booking support please help,Ride Booking,Advance Booking Support
having trouble with payment failures thanks,Payments & Billing,Payment Failures
please assist with discount not applied,Promotions & Discounts,Discount Not Applied
please assist with subscription management thanks,Account Management,Subscription Management
having trouble with payment failures please help,Payments & Billing,Payment Failures
i have an issue with ride cancellation urgent,Ride Booking,Ride Cancellation
i have an issue with cashback issues please help,Promotions & Discounts,Cashback Issues
i have an issue with driver behaviour please help,Vehicle & Driver Support,Driver Behaviour
hi i am facing pickup drop problems please help,Service & Operations,Pickup & Drop Problems
having trouble with booking failures thanks,Ride Booking,Booking Failures
i have an issue with subscription management,Account Management,Subscription Management
having trouble with subscription renewal thanks,Payments & Billing,Subscription Renewal
i have an issue with booking failures,Ride Booking,Booking Failures
i have an issue with account creation issues please help,Account Management,Account Creation Issues
i have an issue with promo code not working urgent,Promotions & Discounts,Promo Code Not Working
please assist with service feedback please help,Feedback & Complaints,Service Feedback
please assist with service delays thanks,Service & Operations,Service Delays
hey i am facing vehicle availability,Vehicle & Driver Support,Vehicle Availability
having trouble with service delays,Service & Operations,Service Delays
please assist with ride cancellation,Ride Booking,Ride Cancellation
i have an issue with account deactivation urgent,Account Management,Account Deactivation
please assist with customer support response time,Feedback & Complaints,Customer Support Response Time
i have an issue with gpstracking issues,Technical Support,GPS/Tracking Issues
hey i am facing gpstracking issues urgent,Technical Support,GPS/Tracking Issues
having trouble with service delays urgent,Service & Operations,Service Delays
having trouble with service availability,Service & Operations,Service Availability
having trouble with service feedback,Feedback & Complaints,Service Feedback
please assist with service feedback urgent,Feedback & Complaints,Service Feedback
please assist with discount not applied urgent,Promotions & Discounts,Discount Not Applied
having trouble with login problems,Account Management,Login Problems
please assist with loyalty points urgent,Promotions & Discounts,Loyalty Points
please assist with advance booking support please help,Ride Booking,Advance Booking Support
hi i am facing vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
i am facing vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
hi i am facing pickup drop problems urgent,Service & Operations,Pickup & Drop Problems
please assist with customer support response time urgent,Feedback & Complaints,Customer Support Response Time
having trouble with loyalty points thanks,Promotions & Discounts,Loyalty Points
i am facing gpstracking issues urgent,Technical Support,GPS/Tracking Issues
i have an issue with route issues thanks,Service & Operations,Route Issues
i am facing app crashes please help,Technical Support,App Crashes
i have an issue with advance booking support urgent,Ride Booking,Advance Booking Support
having trouble with subscription management,Account Management,Subscription Management
hi i am facing notification problems please help,Technical Support,Notification Problems
having trouble with safety concerns please help,Feedback & Complaints,Safety Concerns
i have an issue with booking failures please help,Ride Booking,Booking Failures
having trouble with route issues thanks,Service & Operations,Route Issues
please assist with service delays please help,Service & Operations,Service Delays
hey i am facing invoice issues thanks,Payments & Billing,Invoice Issues
i am facing account creation issues thanks,Account Management,Account Creation Issues
hey i am facing vehicle availability please help,Vehicle & Driver Support,Vehicle Availability
hey i am facing charging issues urgent,Vehicle & Driver Support,Charging Issues
i have an issue with booking failures thanks,Ride Booking,Booking Failures
i have an issue with service delays,Service & Operations,Service Delays
having trouble with app update issues,Technical Support,App Update Issues
having trouble with customer support response time please help,Feedback & Complaints,Customer Support Response Time
hello i am facing advance booking support thanks,Ride Booking,Advance Booking Support
hey i am facing safety concerns please help,Feedback & Complaints,Safety Concerns
please assist with subscription management urgent,Account Management,Subscription Management
please assist with payment failures,Payments & Billing,Payment Failures
i have an issue with notification problems urgent,Technical Support,Notification Problems
hi i am facing loyalty points,Promotions & Discounts,Loyalty Points
i have an issue with app crashes,Technical Support,App Crashes
please assist with route issues thanks,Service & Operations,Route Issues
i am facing complaint registration urgent,Feedback & Complaints,Complaint Registration
having trouble with service availability thanks,Service & Operations,Service Availability
i have an issue with app update issues urgent,Technical Support,App Update Issues
having trouble with subscription renewal,Payments & Billing,Subscription Renewal
having trouble with refund requests urgent,Payments & Billing,Refund Requests
i have an issue with schedule changes thanks,Ride Booking,Schedule Changes
hi i am facing service feedback urgent,Feedback & Complaints,Service Feedback
please assist with booking failures,Ride Booking,Booking Failures
hello i am facing login problems,Account Management,Login Problems
please assist with complaint registration thanks,Feedback & Complaints,Complaint Registration
please assist with ride cancellation please help,Ride Booking,Ride Cancellation
i have an issue with login problems thanks,Account Management,Login Problems
having trouble with discount not applied please help,Promotions & Discounts,Discount Not Applied
i am facing account deactivation thanks,Account Management,Account Deactivation
having trouble with customer support response time urgent,Feedback & Complaints,Customer Support Response Time
having trouble with app update issues,Technical Support,App Update Issues
i am facing service delays please help,Service & Operations,Service Delays
having trouble with login problems,Account Management,Login Problems
i have an issue with driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
i have an issue with vehicle condition,Vehicle & Driver Support,Vehicle Condition
having trouble with ride cancellation thanks,Ride Booking,Ride Cancellation
i have an issue with discount not applied,Promotions & Discounts,Discount Not Applied
i am facing driver behaviour please help,Vehicle & Driver Support,Driver Behaviour
i have an issue with safety concerns please help,Feedback & Complaints,Safety Concerns
hey i am facing promo code not working please help,Promotions & Discounts,Promo Code Not Working
please assist with customer support response time thanks,Feedback & Complaints,Customer Support Response Time
having trouble with route issues urgent,Service & Operations,Route Issues
please assist with gpstracking issues please help,Technical Support,GPS/Tracking Issues
hello i am facing app crashes please help,Technical Support,App Crashes
having trouble with advance booking support,Ride Booking,Advance Booking Support
please assist with discount not applied thanks,Promotions & Discounts,Discount Not Applied
i have an issue with login problems urgent,Account Management,Login Problems
please assist with gpstracking issues please help,Technical Support,GPS/Tracking Issues
i have an issue with app update issues,Technical Support,App Update Issues
please assist with customer support response time thanks,Feedback & Complaints,Customer Support Response Time
having trouble with customer support response time urgent,Feedback & Complaints,Customer Support Response Time
please assist with app update issues urgent,Technical Support,App Update Issues
i have an issue with discount not applied please help,Promotions & Discounts,Discount Not Applied
i have an issue with safety concerns please help,Feedback & Complaints,Safety Concerns
having trouble with charging issues,Vehicle & Driver Support,Charging Issues
having trouble with ride cancellation urgent,Ride Booking,Ride Cancellation
i have an issue with pickup drop problems please help,Service & Operations,Pickup & Drop Problems
i have an issue with loyalty points please help,Promotions & Discounts,Loyalty Points
having trouble with discount not applied please help,Promotions & Discounts,Discount Not Applied
hi i am facing route issues,Service & Operations,Route Issues
having trouble with subscription management thanks,Account Management,Subscription Management
hello i am facing vehicle condition urgent,Vehicle & Driver Support,Vehicle Condition
i have an issue with schedule changes please help,Ride Booking,Schedule Changes
i have an issue with service delays please help,Service & Operations,Service Delays
hello i am facing safety concerns,Feedback & Complaints,Safety Concerns
please assist with loyalty points,Promotions & Discounts,Loyalty Points
i have an issue with account creation issues urgent,Account Management,Account Creation Issues
hi i am facing route issues urgent,Service & Operations,Route Issues
having trouble with booking failures thanks,Ride Booking,Booking Failures
hey i am facing subscription renewal urgent,Payments & Billing,Subscription Renewal
please assist with refund requests thanks,Payments & Billing,Refund Requests
having trouble with gpstracking issues thanks,Technical Support,GPS/Tracking Issues
please assist with safety concerns please help,Feedback & Complaints,Safety Concerns
hello i am facing schedule changes urgent,Ride Booking,Schedule Changes
please assist with vehicle availability urgent,Vehicle & Driver Support,Vehicle Availability
hi i am facing complaint registration urgent,Feedback & Complaints,Complaint Registration
having trouble with subscription management thanks,Account Management,Subscription Management
having trouble with vehicle condition,Vehicle & Driver Support,Vehicle Condition
please assist with subscription renewal urgent,Payments & Billing,Subscription Renewal
having trouble with booking failures please help,Ride Booking,Booking Failures
please assist with safety concerns,Feedback & Complaints,Safety Concerns
having trouble with invoice issues thanks,Payments & Billing,Invoice Issues
having trouble with complaint registration urgent,Feedback & Complaints,Complaint Registration
having trouble with vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
hey i am facing advance booking support,Ride Booking,Advance Booking Support
please assist with cashback issues,Promotions & Discounts,Cashback Issues
please assist with account deactivation,Account Management,Account Deactivation
having trouble with notification problems,Technical Support,Notification Problems
hello i am facing account deactivation please help,Account Management,Account Deactivation
i am facing gpstracking issues,Technical Support,GPS/Tracking Issues
having trouble with driver behaviour,Vehicle & Driver Support,Driver Behaviour
please assist with charging issues,Vehicle & Driver Support,Charging Issues
having trouble with app crashes urgent,Technical Support,App Crashes
hey i am facing discount not applied,Promotions & Discounts,Discount Not Applied
please assist with service delays,Service & Operations,Service Delays
having trouble with account creation issues please help,Account Management,Account Creation Issues
i have an issue with service feedback thanks,Feedback & Complaints,Service Feedback
hello i am facing account deactivation please help,Account Management,Account Deactivation
please assist with gpstracking issues urgent,Technical Support,GPS/Tracking Issues
please assist with driver behaviour urgent,Vehicle & Driver Support,Driver Behaviour
please assist with pickup drop problems thanks,Service & Operations,Pickup & Drop Problems
i have an issue with promo code not working urgent,Promotions & Discounts,Promo Code Not Working
please assist with vehicle availability thanks,Vehicle & Driver Support,Vehicle Availability
please assist with payment failures thanks,Payments & Billing,Payment Failures
i have an issue with customer support response time thanks,Feedback & Complaints,Customer Support Response Time
hi i am facing customer support response time urgent,Feedback & Complaints,Customer Support Response Time
please assist with notification problems thanks,Technical Support,Notification Problems
please assist with loyalty points please help,Promotions & Discounts,Loyalty Points
i have an issue with subscription renewal thanks,Payments & Billing,Subscription Renewal
having trouble with vehicle condition urgent,Vehicle & Driver Support,Vehicle Condition
i have an issue with refund requests urgent,Payments & Billing,Refund Requests
having trouble with notification problems,Technical Support,Notification Problems
hello i am facing advance booking support please help,Ride Booking,Advance Booking Support
having trouble with ride cancellation thanks,Ride Booking,Ride Cancellation
having trouble with invoice issues thanks,Payments & Billing,Invoice Issues
please assist with vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
having trouble with account creation issues,Account Management,Account Creation Issues
having trouble with subscription management urgent,Account Management,Subscription Management
hi i am facing loyalty points,Promotions & Discounts,Loyalty Points
please assist with vehicle availability urgent,Vehicle & Driver Support,Vehicle Availability
please assist with discount not applied please help,Promotions & Discounts,Discount Not Applied
hello i am facing refund requests please help,Payments & Billing,Refund Requests
having trouble with payment failures thanks,Payments & Billing,Payment Failures
i am facing route issues urgent,Service & Operations,Route Issues
having trouble with pickup drop problems,Service & Operations,Pickup & Drop Problems
please assist with subscription management please help,Account Management,Subscription Management
please assist with driver behaviour please help,Vehicle & Driver Support,Driver Behaviour
hello i am facing promo code not working please help,Promotions & Discounts,Promo Code Not Working
having trouble with loyalty points,Promotions & Discounts,Loyalty Points
i have an issue with cashback issues thanks,Promotions & Discounts,Cashback Issues
having trouble with charging issues thanks,Vehicle & Driver Support,Charging Issues
having trouble with payment failures urgent,Payments & Billing,Payment Failures
hi i am facing safety concerns please help,Feedback & Complaints,Safety Concerns
i have an issue with ride cancellation,Ride Booking,Ride Cancellation
having trouble with service feedback thanks,Feedback & Complaints,Service Feedback
hi i am facing service feedback please help,Feedback & Complaints,Service Feedback
please assist with promo code not working please help,Promotions & Discounts,Promo Code Not Working
i have an issue with service delays thanks,Service & Operations,Service Delays
hi i am facing refund requests thanks,Payments & Billing,Refund Requests
i am facing payment failures thanks,Payments & Billing,Payment Failures
hello i am facing route issues,Service & Operations,Route Issues
having trouble with notification problems please help,Technical Support,Notification Problems
i have an issue with ride cancellation,Ride Booking,Ride Cancellation
i have an issue with service feedback,Feedback & Complaints,Service Feedback
please assist with booking failures thanks,Ride Booking,Booking Failures
i have an issue with account deactivation please help,Account Management,Account Deactivation
having trouble with pickup drop problems,Service & Operations,Pickup & Drop Problems
please assist with refund requests,Payments & Billing,Refund Requests
having trouble with cashback issues urgent,Promotions & Discounts,Cashback Issues
having trouble with app update issues please help,Technical Support,App Update Issues
having trouble with pickup drop problems,Service & Operations,Pickup & Drop Problems
hello i am facing promo code not working thanks,Promotions & Discounts,Promo Code Not Working
having trouble with charging issues please help,Vehicle & Driver Support,Charging Issues
i have an issue with advance booking support please help,Ride Booking,Advance Booking Support
please assist with subscription renewal thanks,Payments & Billing,Subscription Renewal
please assist with service availability urgent,Service & Operations,Service Availability
hello i am facing gpstracking issues,Technical Support,GPS/Tracking Issues
having trouble with subscription renewal,Payments & Billing,Subscription Renewal
i have an issue with app crashes please help,Technical Support,App Crashes
hello i am facing route issues,Service & Operations,Route Issues
i am facing discount not applied,Promotions & Discounts,Discount Not Applied
having trouble with ride cancellation,Ride Booking,Ride Cancellation
having trouble with pickup drop problems urgent,Service & Operations,Pickup & Drop Problems
having trouble with customer support response time,Feedback & Complaints,Customer Support Response Time
i am facing vehicle condition please help,Vehicle & Driver Support,Vehicle Condition
having trouble with charging issues,Vehicle & Driver Support,Charging Issues
hi i am facing route issues please help,Service & Operations,Route Issues
having trouble with subscription renewal please help,Payments & Billing,Subscription Renewal
please assist with schedule changes please help,Ride Booking,Schedule Changes
having trouble with login problems,Account Management,Login Problems
i have an issue with account deactivation urgent,Account Management,Account Deactivation
i have an issue with service availability,Service & Operations,Service Availability
hello i am facing payment failures,Payments & Billing,Payment Failures
please assist with app update issues please help,Technical Support,App Update Issues
please assist with notification problems thanks,Technical Support,Notification Problems
i am facing payment failures,Payments & Billing,Payment Failures
please assist with vehicle availability,Vehicle & Driver Support,Vehicle Availability
having trouble with payment failures please help,Payments & Billing,Payment Failures
please assist with complaint registration please help,Feedback & Complaints,Complaint Registration
i have an issue with service delays thanks,Service & Operations,Service Delays
please assist with advance booking support urgent,Ride Booking,Advance Booking Support
i have an issue with pickup drop problems please help,Service & Operations,Pickup & Drop Problems
i am facing gpstracking issues please help,Technical Support,GPS/Tracking Issues
i have an issue with service availability,Service & Operations,Service Availability
i have an issue with schedule changes thanks,Ride Booking,Schedule Changes
hey i am facing route issues urgent,Service & Operations,Route Issues
hello i am facing booking failures urgent,Ride Booking,Booking Failures
i am facing notification problems urgent,Technical Support,Notification Problems
please assist with gpstracking issues please help,Technical Support,GPS/Tracking Issues
having trouble with charging issues thanks,Vehicle & Driver Support,Charging Issues
hi i am facing login problems thanks,Account Management,Login Problems
hello i am facing account deactivation thanks,Account Management,Account Deactivation
having trouble with complaint registration thanks,Feedback & Complaints,Complaint Registration
please assist with schedule changes,Ride Booking,Schedule Changes
please assist with account creation issues please help,Account Management,Account Creation Issues
i have an issue with complaint registration urgent,Feedback & Complaints,Complaint Registration
hello i am facing pickup drop problems please help,Service & Operations,Pickup & Drop Problems
having trouble with app crashes thanks,Technical Support,App Crashes
hello i am facing loyalty points thanks,Promotions & Discounts,Loyalty Points
please assist with account deactivation,Account Management,Account Deactivation
having trouble with service availability urgent,Service & Operations,Service Availability
please assist with refund requests,Payments & Billing,Refund Requests
i am facing safety concerns urgent,Feedback & Complaints,Safety Concerns
